"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
2 "MetsaHarvaTaimikko" 0 0.126984126984127 0.698412698412699 0 0.926984126984127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaHarvaTaimikko" 0 0 0.308641975308642 3.70370370370371 0 0 0 0 1.11111111111111 0.555555555555555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 "MetsaHarvaTaimikko" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "MetsaKeskim" 0 0.9307614022339 0.0397864798274774 0.0136658694909463 0.00455528983031545 0 0 0.00284705614394715 0.00455528983031545 0 0 0 0 0 0 0 0 0 0.00740234597426261 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 0 0.0260233125508268 1.43426402819192 0 0.0455407969639468 0 0 0 0.0151802656546489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaKeskim" 0 0 0 0.940850773350953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 0 0 0.0622542595019659 0 1.11642031940197 0 0 0 0.0436871996505024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 0 0 0 0 0 0.914689175558741 0 0 0.0780379041248606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaKeskim" 0 0 0 0 0.271411338962606 0 0 1.53177862629049 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0402090872537194 0 0 0 0 0 0 0
8 "MetsaKeskim" 0 0 0 0 0 0 0 0 8.57142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.13207547169811 0 0 0 0 0
27 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.986547085201793 0
1 "MetsaVart" 0 0.963683779165411 0.0154633605873669 0.0173288513154135 0.00432409446967117 0.000430700318718236 0 0.0073321601877033 0.0013399565471234 0.00507350703830572 0 0 0 0 0 0 0 0 0.00522993244157858 0 0 0 0 0 0 0 0 0 0.00086140063743647 0 0 0
2 "MetsaVart" 0 0.0126015822687813 1.07636830672095 0.0268278850041442 0.00921801456038185 0 0 0.0165860692969883 0.00468988158049009 0.00591993672962548 0 0 0 0 0 0 0 0 0.00237285675203368 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaVart" 0 0.00814625924261365 0.00691211449714368 1.09943826155702 0.0595322802523599 0 0 0.0142308239647076 0 0 0 0 0 0 0 0 0 0 0.00853849437882454 0 0 0 0 0 0 0 0 0 0 0.00284616479294151 0 0
4 "MetsaVart" 0 0 0.008030193527664 0.0908173036817333 1.2199758347023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaVart" 0 0.0139201136664048 0.0103842159916926 0.0276912426445136 0.0103842159916926 1.35215702202676 0 0.0224679677267102 0.0230760355370947 0.0237118909453917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0103842159916927 0.0103842159916926 0
6 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaVart" 0 0 0 0 0.00357525920629245 0.00510751315184637 0.00357525920629246 1.0062077702517 0.0485639375521392 0.0071505184125849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0131092837564057 0 0 0 0.0143010368251698 0
9 "MetsaVart" 0 0 0 0 0 0 0 0 0 1.86859553948162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.740120650919071 0 0 0.051107325383305 0 0
27 "MetsaVart" 0 0 0 0 0 0.196078431372549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.40583704799377 0 0 0 0
29 "MetsaVart" 0 0 0 0 0.0904977375565609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.090497737556561 0 0 0.785118263238594 0 0
30 "MetsaVart" 0 0 0 0.228571428571429 0 0 0 0.457142857142857 0 0.228571428571428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.08571428571428 0
1 "MetsaHarvaTaimikko" 1 1.08108108108108 0.27027027027027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaHarvaTaimikko" 1 0.017908323709359 0.671486471114547 0.132521595449257 0.0613999670035167 0 0 0 0 0.0613999670035167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaHarvaTaimikko" 1 0 0 0 3.63636363636363 1.81818181818182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "MetsaKeskim" 1 0.850124751665337 0.038179276654413 0.00652267726191365 0.0213777268077582 0.00294026567934684 0.00104301672087608 0 0 0.00113296617708616 0 0 0 0 0 0 0 0 0 0 0 0.000391131270328529 0 0 0 0 0 0.000349187938360562 0 0 0 0
2 "MetsaKeskim" 1 0.0144076808771602 1.21629409997583 0 0.0167164549248225 0.0105629630818084 0.00481582732010485 0 0.00123825592035722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00099492333728829 0 0 0 0
3 "MetsaKeskim" 1 0.00407897621596284 0.0131910832495371 0.946631271097831 0.0681056136306776 0.0163159048638513 0 0 0.0150036662384006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 1 0.00945203649347334 0.0145767871803484 0.018186702718584 1.02100683650186 0.00201180137017053 0.00389726601696814 0.00466032870910202 0.00335300228361755 0.00307469210207093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 1 0 0 0.0424714385160026 0.0142718913294403 0.996768570126125 0 0 0.050965726219203 0.0142718913294403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0158576570327114 0 0 0
6 "MetsaKeskim" 1 0.0133252547197493 0 0.0266505094394985 0.0666262735987463 0 1.0033450683321 0 0 0.0266505094394985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaKeskim" 1 0 0 0 0.057445566084393 0 0.161565654612356 1.20435115754728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaKeskim" 1 0 0 0 0 0 0 0 2.21004307181057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaKeskim" 1 0 0 0 0 0 0.70742291285852 0 0.217668588571852 1.46926297286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.08834294285926 0 0 0
28 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.09587728985476 0 0 0
30 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21.7687074829932 0
1 "MetsaVart" 1 0.913747704958302 0.0251706481068455 0.00957441356688522 0.0165279373321436 0.00568482795534909 0.00102339479570204 0.00248491552054079 0.00112509858826691 0.00102187571325653 0 0 0 0 0.000131196042567836 0 0 0 0.00360372621688317 0 0 0 0 0 0 0 0 0.000131196042567836 0 0.000562268753862154 0 0
2 "MetsaVart" 1 0.0115695642782285 1.0763433895231 0.0063916738990671 0.00825483050848988 0.00688661139898728 0.00114531802867465 0.00800546531249904 0.0014089556539303 0.00230142064634988 0 0 0 0 0 0 0 0 0.000665182127903066 0 0 0 0 0 0 0 0 0.000745302104093072 0 0 0 0
3 "MetsaVart" 1 0 0.00228897320535645 0.885311504529206 0.105015838116082 0.00302855111312621 0 0.00194692571558113 0 0.00987369470044718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108162539754507 0
4 "MetsaVart" 1 0.0073861881662243 0.0149080468886269 0.0331852056217764 1.10317474603927 0.00160014299514535 0.00194303077981935 0.00311448956600426 0.000800071497572673 0.000714275073286237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaVart" 1 0 0.0161023036338628 0.0203856922458113 0.0460193614170952 1.08335122203431 0.036227151960889 0.00821460449332964 0.0265947820471548 0.0581792926660081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00287511157266538 0 0 0 0
6 "MetsaVart" 1 0 0 0.0465206168900987 0.0232603084450493 0 1.32834919656278 0 0.117244178446626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0418685552010888 0 0 0
7 "MetsaVart" 1 0 0.00687789744628593 0.00962905642480032 0 0.0116924256586861 0.00481452821240016 1.61403827027016 0.00534947579155573 0.00481452821240016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaVart" 1 0 0 0 0 0 0 0 2.09302325581395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaVart" 1 0 0 0 0 0 0 0 0 0.998659190108782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.476190476190475 0 0 0
15 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.13580231161558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.909090909090909 0 0 0 0 0 0 0
28 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92307692307693 0 0 0
29 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.4 0 0
30 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.86915887850467 0.623052959501556 0 0
1 "MetsaHarvaTaimikko" 2 0 0.952380952380951 0 1.42857142857143 0 0 0 0 0.476190476190476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaHarvaTaimikko" 2 0 0.936795920787383 0.0426894343649946 0.064034151547492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaHarvaTaimikko" 2 0 0.317460317460317 0 1.11111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "MetsaKeskim" 2 0.830797937537869 0.027685223073076 0.0127082944789147 0.0159140739751016 0.00596850263653327 0.00368827018736413 0.000835080042422066 0.00288102614635613 0.00185109409403558 0 0 0 0 0 0 0 0 0.00185921292778135 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 2 0.00490918016691212 1.29521315971979 0.00319096710849288 0.0161301634055684 0.0127326990360864 0 0.00196367206676485 0.00109092892598047 0.00196367206676485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaKeskim" 2 0.0235504686543262 0.0113042249540766 0.854594173090711 0.155092919682435 0 0.0113042249540766 0 0 0.0107154632377184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 2 0 0.0167179350006687 0.0367794570014712 1.14836822339832 0.00534973920021399 0.00401230440016049 0.00191062114293357 0 0.00534973920021399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 2 0 0 0 0 1.62950458371433 0 0 0.128836369604464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "MetsaKeskim" 2 0 0 0 0 0 0.797619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.714285714285714 0 0 0
7 "MetsaKeskim" 2 0 0 0 0 0.169491525423729 0 1.01694915254237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 "MetsaKeskim" 2 0 0 0 0 0 0 0 0 0 0 1.02941176470588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
