"maakunta" "V2"
0 9055.16689103005
1 171069.812320487
2 193050.872610216
3 277643.002264545
4 141678.964462814
5 221521.44640775
6 261719.700802173
7 130128.544587355
8 222795.135669985
9 192553.127662796
10 151846.345967286
11 132534.856726847
12 308674.979163257
13 834640.223785721
