"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
"1" 2 "MetsaHarvaTaimikko" 0 0.0126984126984127 0.0698412698412699 0 0.0926984126984127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 3 "MetsaHarvaTaimikko" 0 0 0.0308641975308642 0.370370370370371 0 0 0 0 0.111111111111111 0.0555555555555555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 30 "MetsaHarvaTaimikko" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 1 "MetsaKeskim" 0 0.0930761402233899 0.00397864798274774 0.00136658694909463 0.000455528983031545 0 0 0.000284705614394715 0.000455528983031545 0 0 0 0 0 0 0 0 0 0.000740234597426261 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 2 "MetsaKeskim" 0 0.00260233125508268 0.143426402819192 0 0.00455407969639469 0 0 0 0.00151802656546489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 3 "MetsaKeskim" 0 0 0 0.0940850773350953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 4 "MetsaKeskim" 0 0 0.00622542595019659 0 0.111642031940197 0 0 0 0.00436871996505024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 5 "MetsaKeskim" 0 0 0 0 0 0.0914689175558741 0 0 0.00780379041248606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 7 "MetsaKeskim" 0 0 0 0 0.0271411338962606 0 0 0.153177862629049 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402090872537194 0 0 0 0 0 0 0
"10" 8 "MetsaKeskim" 0 0 0 0 0 0 0 0 0.857142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 9 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 26 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.113207547169811 0 0 0 0 0
"13" 27 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 30 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0986547085201793 0
"15" 1 "MetsaVart" 0 0.0963683779165411 0.00154633605873669 0.00173288513154135 0.000432409446967118 4.30700318718236e-05 0 0.00073321601877033 0.00013399565471234 0.000507350703830572 0 0 0 0 0 0 0 0 0.000522993244157858 0 0 0 0 0 0 0 0 0 8.6140063743647e-05 0 0 0
"16" 2 "MetsaVart" 0 0.00126015822687813 0.107636830672095 0.00268278850041442 0.000921801456038185 0 0 0.00165860692969883 0.000468988158049009 0.000591993672962548 0 0 0 0 0 0 0 0 0.000237285675203368 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 3 "MetsaVart" 0 0.000814625924261365 0.000691211449714368 0.109943826155702 0.00595322802523599 0 0 0.00142308239647076 0 0 0 0 0 0 0 0 0 0 0.000853849437882454 0 0 0 0 0 0 0 0 0 0 0.000284616479294151 0 0
"18" 4 "MetsaVart" 0 0 0.0008030193527664 0.00908173036817333 0.12199758347023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 5 "MetsaVart" 0 0.00139201136664048 0.00103842159916926 0.00276912426445136 0.00103842159916926 0.135215702202676 0 0.00224679677267102 0.00230760355370947 0.00237118909453917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00103842159916927 0.00103842159916926 0
"20" 6 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 7 "MetsaVart" 0 0 0 0 0.000357525920629245 0.000510751315184637 0.000357525920629246 0.10062077702517 0.00485639375521392 0.00071505184125849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00131092837564057 0 0 0 0.00143010368251698 0
"22" 9 "MetsaVart" 0 0 0 0 0 0 0 0 0 0.186859553948162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 18 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 26 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0740120650919071 0 0 0.0051107325383305 0 0
"25" 27 "MetsaVart" 0 0 0 0 0 0.0196078431372549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.140583704799377 0 0 0 0
"26" 29 "MetsaVart" 0 0 0 0 0.00904977375565609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0090497737556561 0 0 0.0785118263238593 0 0
"27" 30 "MetsaVart" 0 0 0 0.0228571428571429 0 0 0 0.0457142857142857 0 0.0228571428571428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.308571428571428 0
"28" 1 "MetsaHarvaTaimikko" 1 0.108108108108108 0.027027027027027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" 2 "MetsaHarvaTaimikko" 1 0.0017908323709359 0.0671486471114547 0.0132521595449257 0.00613999670035167 0 0 0 0 0.00613999670035167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 5 "MetsaHarvaTaimikko" 1 0 0 0 0.363636363636363 0.181818181818182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
