"maakunta" "V2"
"1" 0 9055.16689103005
"2" 1 171069.812320487
"3" 2 193050.872610216
"4" 3 277643.002264545
"5" 4 141678.964462814
"6" 5 221521.44640775
"7" 6 261719.700802173
"8" 7 130128.544587355
"9" 8 222795.135669985
"10" 9 192553.127662796
"11" 10 151846.345967286
"12" 11 132534.856726847
"13" 12 308674.979163257
"14" 13 834640.223785721
