"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
0 606577.580846125 279304.208221555 89716.1356392269 90846.3406910443 25865.6777680407 0 91652.4822232918 19114.90258 14036.0574566827 0 0 0 0 0 0 0 0 3230.68776 0 0 0 0 0 0 0 9241.7921745102 269.22398 1682.79071270351 818.236227666144 1884.56786 0
1 5370448.90958825 5434060.79125889 810207.078009899 1641971.05233668 304348.699473229 186730.4286 184845.667972239 60607.09344 51916.3994239558 0 0 0 0 3741.70419527813 0 0 0 2800.6485 0 0 0 0 0 0 0 6161.4267 4589.74036239787 16276.07154 11202.594 0 0
2 8288836.35511109 6678150.98188903 599377.320210268 1906846.62571446 315306.249405136 92591.4696 80841.8444391144 65607.2508963197 67260.6699963196 0 2755.6985 0 0 2866.82432954407 0 0 0 9920.5146 0 0 0 0 551.1397 551.139700000001 0 0 27575.3817676977 8267.0955 1102.2794 0 0
3 4673103.09131732 8742598.07903806 952313.091342012 1753785.65636238 477610.110519542 346083.222549014 66848.59614019 166175.42416 87174.014535075 0 3929.82422 0 0 6736.84152 0 0 0 20210.52456 0 561.403460000001 0 0 0 9043.03842854483 0 561.40346 2245.61384 21894.73494 10666.66574 1122.80692 0
4 6091971.01255263 5222340.27644796 738030.395524614 1119170.15055418 300823.948278787 285058.77296 51423.7403293845 78240.69968 32828.2656 0 15866.99504 0 0 0 0 0 0 7659.92864 0 0 0 0 0 547.137759999999 0 0 1641.41328 4924.23984 0 547.13776 0
5 5814665.6504678 6968001.08726617 759408.193038919 1829454.34492871 252433.432675622 219809.05212 22586.89508 82634.982 48227.7314360704 0 550.899879999999 0 0 0 550.89988 0 0 4407.19904 0 0 0 0 0 4407.19904 0 0 0 6610.79856 0 0 0
6 8656121.49752093 7113019.15013074 1272597.34914002 2216591.81239995 357866.141631756 648757.931633125 72556.0175270725 202353.79528 87877.4770828567 0 1667.75106 0 0 2292.18383557564 0 0 0 28351.76802 0 0 0 0 0 1667.75106 0 0 0 12230.17444 0 1111.83404 0
7 10260420.5229582 3887234.95427656 261153.557889921 3100116.59416595 317069.713854282 140172.849 1153.686 25158.9084674578 30520.7358464077 0 1153.686 0 0 1309.16953986051 0 0 0 2307.372 0 0 0 0 0 0 0 0 0 0 0 1153.686 0
8 9584118.02889683 8122043.67162986 816879.509681222 2582363.3551252 349767.250740517 476867.05822 21923.27132 105876.67734 97197.95712 0 8207.90992 0 0 1172.55856 0 0 0 4219.42394 0 0 0 0 0 1758.83784 0 0 0 5862.79279999999 586.27928 2345.11712 0
9 7012576.14168701 8869108.38179586 857695.56103647 3133961.04879299 428860.343156381 922427.52238 33975.00722 191750.378703588 124234.240102702 0 13244.49434 0 0 6910.17096 0 0 0 1727.54274 0 0 0 0 0 0 0 0 0 13244.49434 0 1727.54274 0
10 10989038.0476084 6326984.86859276 1109136.3902311 2875244.05191529 263095.876379113 672218.03264 36568.0650306223 198752.65536 84526.99136 0 4569.02656 0 0 7995.79648 0 0 0 5711.2832 0 0 0 0 0 1142.25664 0 0 0 14849.33632 0 571.12832 0
11 13074439.0679643 5108007.97839133 320024.173924186 4139498.45743555 207656.833270711 149562.19722 0 46392.8173173135 107430.358674852 0 11059.176555 0 0 5266.27455 0 0 0 3159.76473 0 0 0 0 0 0 0 0 0 526.627454999998 0 0 0
12 18589178.2009784 6260450.98139105 371741.184061514 6838837.56098471 523975.756395605 272120.643075 5260.45275 50860.9381047781 157499.953234846 0 0 0 0 1578.135825 1052.09055 0 0 1578.135825 0 0 1578.135825 0 0 0 0 0 0 526.045274999999 0 0 0
13 32902507.4093792 10936063.016036 582958.109418505 10569463.4355692 269629.695236576 138669.98145 4266.76866 13633.30455 237822.008531476 0 2133.38433 0 0 3200.076495 0 0 0 0 0 0 0 0 0 0 0 0 0 2966.3829 0 0 0
