"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
1 "MetsaKeskim" 0 0.723613433872214 0.0100123228589033 0.0105624504885133 0.0323475046210721 0 0 0.0277264325323475 0.00693160813308688 0.00308071472581639 0 0 0 0 0 0 0 0 0.00958444581365098 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 0 0.0266792215944758 1.13940453770962 0 0 0 0 0 0.0112994350282486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaKeskim" 0 0.0248663434042024 0.0298396120850429 1.17916259255738 0.0401315153273378 0 0 0.0456919060052219 0.0348128807658834 0.0174064403829417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 0 0 0 0.0897845171588188 1.07006616208541 0.0361038270056626 0 0.034203625584312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 0 0 0 0 0.0941176470588237 0.726797385620915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaKeskim" 0 0 0 0 0 0 0 0.712068812627472 0.276979693180811 0 0 0 0 0 0 0 0 0 0.074487895716946 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 2.75167785234899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.41657441294945 0 0 0.099502487562189 0.110558319513543 0
1 "MetsaVart" 0 0.935191757641426 0.0334244968053788 0.0100960594992212 0.0105749839671105 0.00444380598020511 0 0.00949345552955323 0.00204825251719454 0.00290464569860931 0 0 0 0 0 0 0 0 0.000718685093752468 0 0 0 0 0 0 0 0 0.000539013820314352 0 0 0 0
2 "MetsaVart" 0 0.0128882571384843 1.21122219136151 0.00297921976518429 0.00549224220788136 0 0 0.015256228355226 0.0164767266236441 0.00289868338749294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00400123496053256 0 0 0.00279999968731966 0 0
3 "MetsaVart" 0 0 0 0.800641797256685 0.174280728254485 0 0 0 0 0.0193691200885445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaVart" 0 0.00795228628230616 0.00795228628230618 0.0817564760723247 1.03410030865829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
