"maakunta" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
"DGMvek" 0 21.2047788756664 16.4535932534258 13.7182571954922 13.7088226046476 15.4948672660424 20.601085026925 21.6871022234548 7.23458808458026 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 2.31428571428571 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925 20.601085026925
"DGMvek.1" 1 20.7557434841969 15.7876877902151 14.4875 11.337581162123 16.6111111111111 19.9076795868816 19.1 10.4774018510797 6.6 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 14.3 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 19.9076795868816 5.8 19.9076795868816 19.9076795868816 13.6 19.9076795868816 19.9076795868816
"DGMvek.2" 2 16.9438316652459 13.7625 16.3916666666667 9.35789473684211 12.8 16.5548584572735 10.3666666666667 8.8 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 6.2 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735 16.5548584572735
"DGMvek.3" 3 13.1084952747111 17.2166666666667 12.167447257066 5.56 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066 12.167447257066
"DGMvek.4" 4 15.7200272458075 9.9875 9.75714285714286 13.1 13.2833333333333 14.8274861800003 14.8274861800003 12.1 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 5.6 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003 14.8274861800003
"DGMvek.5" 5 14.6042253521127 13.32 13.6080924855491 7.62272727272727 13.6080924855491 2.1 23 13.6080924855491 17.7 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 13.6080924855491 3.3 13.6080924855491
"DGMvek.6" 6 13.6764358506636 9.63333333333333 23.1 9.47777777777778 13.1783366319705 3.5 13.1783366319705 12.75 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 3.2 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705 13.1783366319705
"DGMvek.7" 7 10.8605454823703 11.74 11.6 8.71923076923077 2.5 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782 10.6708588785782
"DGMvek.8" 8 13.2064275949007 15.0142857142857 16.5 7.5047619047619 55.2 13.1884508414494 6.64 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494 13.1884508414494
"DGMvek.9" 9 12.2194968553459 11.851724137931 11.851724137931 7.95333333333333 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931 11.851724137931
"DGMvek.10" 10 11.3938271604938 4.4 11.7666666666667 6.73076923076923 11.0104225352113 11.0104225352113 11.0104225352113 2.4 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113 11.0104225352113
"DGMvek.11" 11 12.6364937129297 10.5790573884294 8.6 8.79891891891892 12.0144747716027 5 12.0144747716027 12.0144747716027 26.4 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027 12.0144747716027
"DGMvek.12" 12 11.5632334777766 12.3053281591351 13.4426645538279 8.14803438430924 14.2 6.6 14.7666666666667 11.2380433370851 29.3998123251074 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851 11.2380433370851
"DGMvek.13" 13 16.5022072369013 15.7710956550148 16.2818181818182 8.66018786850261 16.327006409826 4.51376940913706 13.7463308442784 13.7463308442784 18.4814448996763 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784 13.7463308442784
