"maakunta" "V2"
"1" 0 11566.2014657408
"2" 1 184407.896672889
"3" 2 187671.79788072
"4" 3 233673.145312892
"5" 4 200237.083007303
"6" 5 203961.053610562
"7" 6 328677.718427583
"8" 7 108666.59208825
"9" 8 206563.451543001
"10" 9 210882.129072258
"11" 10 251315.450797338
"12" 11 192618.975353704
"13" 12 411511.721883195
"14" 13 1124057.92170517
