"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
0 764352.713583716 277081.349086821 116859.638918039 115195.149687037 33398.0684403919 0 107999.863500187 19111.3727845679 13707.7294082078 0 0 0 0 0 0 1204.68 0 2509.75 0 0 0 100.39 0 0 0 9935.04915529243 2033.28790555556 2635.54675 1658.64417253086 1398.33354938272 2581.26
1 6824732.68785694 5428090.99638802 1127034.34578638 1986132.18465807 456446.24002162 171648.22 290135.189803382 115949.36 83310.5375379329 0 1247.18516183053 0 0 7462.71676285356 0 2670.08160111234 0 11298.44 0 0 0 0 0 1237.08 0 0 3365.09702073488 31007.68 12163.6474379396 618.54 0
2 8742889.57955379 6512599.37305682 950346.179853895 2066285.86330959 393301.765458538 89901.24 149103.922626392 74184.24 57997.8438433714 0 5029.44 0 0 5658.12 628.68 0 0 11944.92 0 0 0 0 0 0 0 0 16041.3731858037 20746.44 5658.12 2514.72 0
3 4922856.69499647 8289170.41992852 1435951.24495682 1901463.95270651 545471.49681981 404537.699284174 132409.600643954 217576.113854497 116040.539460518 0 6709.91185112128 0 0 16361.1813683283 1766.40112688708 1896.12 0 21489.36 0 0 1264.08 0 0 16030.3039300697 0 0 0 28441.8 4424.28 1264.08 0
4 6058005.93191748 4974681.52726405 950926.56386681 1204599.10696868 293289.851464928 186803.24 62482.6545239821 139321.48 40669.3068579219 0 1249.52 0 0 6247.6 0 1249.52 0 11245.68 0 0 2499.04 0 0 624.76 0 0 0 21241.84 0 1249.52 0
5 6354812.33524043 7237336.54961063 958403.093483653 2007077.92236952 326448.604313807 162343.44 40192.9572866608 98698.8225028517 79010.7946339021 0 0 0 0 3221.1 1288.44 0 0 6442.2 0 0 0 0 0 3221.1 0 0 644.219999999998 9019.08 1932.66 0 0
6 8945387.11257175 7748512.4362576 1821857.83831082 2519290.78886285 384920.705536356 449514.5 124205.976290032 246147.94 81996.0052638909 0 6200.2 4960.16 0 22819.3520623998 0 0 620.019999999998 21700.7 0 0 0 0 0 1240.04 0 0 0 18600.6 620.019999999999 3100.1 0
7 12508533.9358267 3867399.36972461 390705.341521617 3035868.38023482 268324.428198461 127987.2 8665.8 35996.4 36663 0 0 0 0 19331.4 0 0 0 2666.4 0 0 8665.79999999999 0 0 0 0 0 0 0 0 0 0
8 11134831.2396085 8117208.69746035 1266203.75957051 2849523.13090174 356926.179096564 378607.151004501 31646.5093085695 122136.56 88055.6729968919 0 28185.36 0 0 9395.12 0 0 0 6710.8 0 0 1342.16 0 0 3355.4 0 0 0 8724.04 0 6039.72000000001 0
9 8243078.92745869 9723467.17070563 1576378.36034766 3703215.02390062 414722.245364044 591308.48 18889.7351393808 264976.32 148085.047219222 0 27085.3246667824 0 0 9439.36 674.239999999999 0 0 6068.16 0 0 1348.48 0 0 0 0 0 0 18878.72 0 674.24 0
10 12906364.7453094 6766136.07202849 1553768.71698895 3296734.42999529 268082.254834488 441868.48 30984.68 202074 100927.143786925 0 6062.22 0 0 15250.7368168566 0 0 0 7409.38 0 0 0 0 0 0 0 0 0 8756.54 0 7409.38 0
11 14846120.8986037 5857747.79132425 520140.740752246 4618809.96386953 274918.515315076 158442.405731198 0 50096.4 116264.708205593 0 21290.97 0 0 26926.815 0 626.205 0 3131.025 0 0 0 0 0 0 0 0 0 2504.82 0 626.204999999999 0
12 20598048.1568377 7041665.49905582 413171.591948517 7408011.29176239 474176.941965694 229022.91 4412.1 47203.695 126865.309606942 0 6720.345 0 0 1260.6 0 0 0 1890.9 0 0 1260.6 0 0 0 0 0 0 9362.01 0 0 0
13 36344879.3550962 12359376.671656 531517.343250145 11098484.4600624 298053.330836779 140930.11473 3784.23 10724.29578 285783.797571899 0 8829.87 0 0 10091.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1261.41 0
