"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
"29" 31 "MetsaTiheaTaimikko" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1
"30" 1 "MetsaVart" 0 0.103692993899981 0.00131912939894407 0.00118625404765757 0.000920822406424578 0.000451965318277933 0 0.000662283216907349 7.08270010635372e-05 0.000366268683548829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.25702031187657e-05 0 0 5.45541869244481e-05 1.56564949719397e-05 0
"31" 2 "MetsaVart" 0 0.00178159822796381 0.104339297727633 0.000978070854958024 0.000829840936918579 0.000599737550280389 0 0.000550802728703335 5.71178619314657e-05 0.000309448609134952 0 0 0 0 0 0 0 0 0.000192772784018697 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 3 "MetsaVart" 0 0 0 0.14008099242543 0.0100285009477054 0 0 0.0116342228049474 0.00413565040037494 0.00285733299645807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000227958487440144 0 0 0 0 0
"33" 4 "MetsaVart" 0 0 0 0.00725381805492203 0.108403635161976 0.00150716014116625 0 0.00258473885327709 0 0.00104559642381828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" 5 "MetsaVart" 0 0 0 0.00673259178438723 0.000525982591699975 0.101733839286218 0 0 0.00214614046978382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 7 "MetsaVart" 0 0.00057173242133491 0.00152483548382861 0.00127267599008872 0.003974116433915 0 0 0.0991299191435617 0.00443311613814055 0.00385092347291187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000859247393570991 0 0.00215850215880936 0.000591632970398742 0.000326149600071484 0
"36" 8 "MetsaVart" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 9 "MetsaVart" 0 0 0 0 0 0 0 0.00243902439024391 0.00243902439024391 0.0615489310448661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0285306571815718 0 0 0 0 0
"38" 11 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
