"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
1 3273217.58140265 4012082.87791419 1195802.06386702 866255.428493663 411653.196467108 127568.756874875 191091.443515766 142814.199636833 115591.16570963 0 5154.39152470834 0 0 13751.738043044 0 697.681383082841 107.407944158333 4126.6839645014 0 0 591.412294425 0 215.310758758334 726.111816983334 0 0 8737.54186592603 16600.1242254599 12203.7991738951 13517.9691597138 916.925128048608
2 5614278.75893032 3498984.31845569 767271.984609252 868726.122956544 227853.956816288 27064.8923221355 167331.143118985 56822.0660642079 49486.7900663057 0 0 0 0 7139.62225714535 70.979230697651 810.982206905062 0 16208.2101540275 0 0 0 0 0 0 0 942.686423440124 12711.4458120768 6490.14906640523 6586.62589408268 9374.01764917446 3638.27671684756
4 4324533.63266915 3442567.82224323 419236.820815187 1206190.52446213 164526.628607236 70932.8308941341 116761.180982756 44367.8503306548 45263.4394508611 0 7815.64723136581 0 0 4850.44761751739 0 274.373745583094 0 4119.18273760535 0 0 0 0 0 0 0 0 54.4445697996831 13849.4057582573 1191.06570412279 876.915012159225 0
5 1957942.80919836 3499757.00965132 522467.322100815 778000.537670549 171055.294985199 119998.808594443 53773.9712300348 56923.3327154137 48669.4838135323 0 0 0 0 4511.31311072024 1709.1573082316 0 0 1255.01860099932 0 0 121.707429670603 0 97.6045325939339 5958.81533541895 0 118.10148443866 0 8669.34117396277 2638.98129199451 9360.57759684765 0
6 6371261.62615338 7313161.3479142 1089449.68430034 2074415.28618335 359827.302970067 184214.065856778 32826.9841190301 103768.150010404 86422.4249043274 0 3311.17453548673 0 0 2562.50568651976 0 0 0 6823.50682140393 0 0 3168.49554771272 0 0 3902.78492088154 0 0 0 11754.2882407951 170.319678636324 824.785840671967 0
7 1645505.43273746 3459345.60648343 646332.318884032 633178.192715461 172763.83117882 163171.019097183 25989.7964558339 78069.5150058391 44801.3387031678 0 0 0 0 6568.1951051195 0 0 0 10155.7313497931 0 887.802205531258 1494.64708671208 0 0 0 0 0 83.2999778180172 9615.52390086737 1161.27135298683 421.438430275 0
8 2854803.96492689 2146362.1064174 555060.262901588 613969.407831746 176914.816952535 50291.8070658625 63190.7395517122 60880.395852356 28498.0451454232 0 0 0 0 12202.9556895786 0 0 0 6462.08009112935 0 0 0 0 254.297682314503 535.604742167902 0 0 99.9220263190986 4706.9773884157 1479.30834305138 0 0
9 3241316.53249115 2470240.71275765 604408.90837928 651009.205475727 171662.800207512 105651.140194745 48119.8598342279 78019.3265528418 19276.5388958896 0 0 0 0 15324.3258662149 0 0 0 4660.39899122446 0 0 0 0 0 0 0 0 2006.83907695556 8903.44240278043 1330.84138249219 1550.42172 0
10 9121054.38033975 7898232.07755074 1988446.34519326 2232814.3508827 322279.969650275 350352.932490858 103418.985829033 234981.310169173 83617.0488706 0 3769.5365795065 0 0 19737.5809686743 2637.50762215642 0 0 18154.6866967414 0 0 0 138.757370780247 0 2793.41704260362 0 0 141.160051175 13164.3464053563 948.691456916945 1364.11882634767 120.2783868
11 8433661.64574383 9813583.64986235 1633701.63057674 3221859.5192238 336280.521275822 440690.747968175 43531.3228397307 209674.959922009 125715.543807055 0 36955.6202774089 0 0 15066.6714976494 1168.22347397994 0 0 4405.69898961885 0 0 0 0 0 0 1130.51137349846 0 0 7453.33041363913 64.6309678053166 2224.6411023415 554.466235609568
12 12690270.6186439 7321360.15396381 2002892.14143293 3222310.05385507 306135.296696762 367695.317329984 47315.8053322627 219683.743324407 86862.9942577378 0 2662.44997230278 651.62649180587 0 49633.1675247193 274.613007236857 0 0 5489.01413837983 69.5526790402897 0 0 0 0 381.757363683334 0 0 0 7343.08314505515 0 576.157005 0
13 11138727.796022 8476046.21880718 1362134.38607063 3044283.11580545 408039.852252932 361716.003614321 29018.0646783576 183522.120207955 95070.6627504051 0 13345.6726582371 0 0 17725.2697303326 0 0 0 8353.02413947035 0 0 577.793193072189 0 0 64.3897118354207 0 0 0 16760.4970253235 0 561.188594361451 0
