"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
1 202446.464676653 22528.5821302163 5116.52041579516 9480.43002586942 4334.85632092884 0 12461.1746637663 4019.61897824275 278.911808400347 0 0 0 0 0 0 0 0 477.758152301683 0 0 0 0 0 0 0 333.693937217308 90.1937521785876 1650.68604729062 0 713.503543113917 0
2 497525.612444341 19650.2500457712 12439.7414469214 7156.18335431597 6617.77471181221 0 1431.95516454253 4508.80309238822 143.743442048941 0 0 0 0 0 0 0 0 4773.94138870936 0 0 0 0 0 0 0 0 0 0 266.913869076754 0 0
4 60405.4384754459 1412.71297785988 0 5216.04058135142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 27817.841435339 136.429446670188 0 2574.91521919247 0 0 747.518170304283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 51670.7786444941 6184.87869759982 712.559486990741 15053.0328079389 121.129822814506 0 225.522168146914 0 0 0 0 0 0 0 0 0 0 0 0 0 1280.66915965494 0 0 0 0 0 0 0 0 0 0
7 13210.6097443639 506.965364999998 106.410569719445 2151.22613464917 0 0 0 0 204.6637955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 45198.4189654073 3626.04643526858 995.759011222828 522.916809220786 1661.26253321143 0 0 183.747997155556 0 0 0 0 0 0 0 0 0 874.651746570841 0 0 0 0 0 0 0 0 0 0 0 0 0
9 21572.3315470813 1757.55572262419 1509.8250997196 1873.66081647054 1111.25035332382 0 0 0 0 0 0 0 0 0 0 0 0 156.647148628087 0 0 0 0 0 0 0 0 0 0 0 0 0
10 51314.5740776027 3874.57376124278 3945.55788716448 7869.53129733443 1386.75783270315 509.752716804832 2614.15599073994 2004.63978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 93973.0384094276 2375.10295650811 0 11553.4492189942 0 786.434063452122 334.526962572531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 190807.870001533 5933.27091154264 146.066470341667 23387.8698718609 63.8773736324883 147.920194139505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 137678.671040085 8054.95253509723 1835.78070320634 20208.4672252698 0 0 3211.73620271921 225.059692218701 1685.10512592099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 202211.436730162 5237.59345420957 1220.11864735427 9619.91561315005 115.110539775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 130742.077639772 2330.71654452645 5040.65570860774 9691.01556064186 0 2683.82208079002 582.510325511112 6351.13339353268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 771.076105703938 0 0 0
16 124109.606560011 468.064594533989 236.139413147031 11623.8710009281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 1690221.3359337 135051.265916514 4979.73410907408 257944.773972204 704.576221979148 11161.7698770173 264.098981331482 0 511.390335851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 727430.800613253 74282.370815735 2060.33438630615 107831.976121226 257.935602646914 2231.22038840415 0 0 4528.88309889905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 3741051.75851022 1561188.51314869 7255.52243216962 1396010.67848707 3438.21776035024 21445.6286182475 0 0 14819.4980937874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 258336.80509479 7399.63230108466 2038.97982347685 3824.59409398421 418.367411143907 0 6109.14543512822 2751.96384152994 0 0 0 0 0 0 0 0 0 2686.35756050742 0 0 0 0 0 0 0 178.351116977778 0 0 0 143.655505422222 0
