"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
30 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75 0 0
1 "MetsaTiheaTaimikko" 1 1.19230424079564 0.077256240836682 0 0.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaTiheaTaimikko" 1 0 0.939904136898497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaTiheaTaimikko" 1 0 0.00983979679090589 0.587923622288729 0.198640900860118 0 0 0 0.00397875169760072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaTiheaTaimikko" 1 0 0 0.0845323468396472 1.180593161541 0.0205479452054794 0.0268484694740403 0 0.106361446497069 0.0194347204910312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaTiheaTaimikko" 1 0 0 0.0434027777777778 0 2.81083226447362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "MetsaTiheaTaimikko" 1 0 0.0110867997920963 0 0.2 0 1.02774424492396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaTiheaTaimikko" 1 0 0 0.27095637831648 0.0508701113731968 0.441500637859592 0 0 0.536917701258158 0.270753230993417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.236842105263158 0 0 0
9 "MetsaTiheaTaimikko" 1 0 0.576913258890398 0 0.0931951360595544 0 0 0 0 0.582371359589558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 "MetsaTiheaTaimikko" 1 0 0.0553120713305899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.04527894211298 0
1 "MetsaVart" 1 0.998588226789537 0.0234478302016923 0.0109736078022653 0.0043943472392156 0.000957112066736351 0.000164724017916455 0.00146050993646038 0.000380226182038307 0.00258557101577062 0 0 0 0 0 0 0 0 0.000368889054279077 0 0 0 0 0 0 0 0 0 0 0.000145155074504441 0 0
2 "MetsaVart" 1 0.00882396524326582 1.01626644379549 0.00699484866290921 0.00371662009766493 0.00401689999967954 0.00268801403328009 0.00172256579274697 0.00383131265733331 0.00105556607482507 0 0 0 0 0 0 0 3.42931792846472e-05 0.000102904645187121 0 0 0.000188825956988467 0 0 0 0 0 5.27121900973697e-05 0.000282157885820808 3.84886393128052e-05 0 0
3 "MetsaVart" 1 0.00197812671097335 0.0163373649479764 1.0045082942618 0.0904109641811785 0.0181378119390027 0.005079424662758 0.00755845130845132 0.00972911504144813 0.00166758960910727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00088073192239859 0.000325247784646834 0 0.00208523782383561 0
4 "MetsaVart" 1 0 0.0103466168863851 0.0553737655095935 1.08822581418307 0.01571435708576 0.0130207333985507 0.0188974130654814 0.00383964067258197 0.0104191442451319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaVart" 1 0.00721753523217779 0.0120412393775874 0.0322547166001231 0.0352929368777776 1.38884814877766 0.0277569760420857 0.00489220799298319 0.0254293372344975 0.0437380084064214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00256200446122927 0 0.000811327792378611 0 0
6 "MetsaVart" 1 0 0 0 0.131252660706684 0 1.27228335068354 0 0.0361428023680555 0.0125594224492692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010975866752002 0 0.0145008514261388 0 0
7 "MetsaVart" 1 0 0 0 0.021362497763464 0.0125017991690026 0.00288046685526242 1.44611478599857 0.0177079595007363 0.0215173640399083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00211143913639888 0.0054170692431562 0 0
8 "MetsaVart" 1 0 0 0 0 0 0 0 1.53189563178691 1.44602469135803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaVart" 1 0 0 0.140743334370786 0.0481814762942214 0 0.0215802987861812 0 0.0113870733478577 0.766672386091542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 "MetsaVart" 1 0 0 0 0 0 0 0 0 0.167661335578002 0 0.686777497194164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.476064737968692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.75482510288066 0
29 "MetsaVart" 1 0 0 0 0 0 0 0 0.284444444444445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.894783635470557 0 0
30 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.962094017094018 0
1 "MetsaHarvaTaimikko" 2 1.060589346155 0.0893557083513545 0.0236869509964191 0.00470963845760938 0.00427643512293466 0 0 0 0.00336200745601902 0 0 0 0 0 0 0 0 0.00861288368722771 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaHarvaTaimikko" 2 0.0471155577420432 1.30125356991992 0.0196646519492127 0.0421085378178964 0.0131399500582562 0.0014164739972954 0 0.0309954321604351 0.00338399974098761 0 0 0 0 0 0.00122134747725981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaHarvaTaimikko" 2 0 0 0.917362008853875 0.0774771855926602 0 0 0.00716774957098633 0 0.00980876801383818 0 0 0 0 0 0 0 0 0.00428865671198175 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaHarvaTaimikko" 2 0.00410777459215666 0.110237066631111 0.0757518694630687 0.970874346429081 0.0319803350770417 0.0761872977217087 0 0.0639804401222547 0.0894453017832648 0 0 0 0 0 0 0 0 0.0239744934742671 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaHarvaTaimikko" 2 0 0.0741181657848325 0.056297427375174 0.0148589183768422 0.444284235559216 0 0 0 0.0451499118165785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "MetsaHarvaTaimikko" 2 0 0.25 0 0 0 1.33204388099935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0410777459215666 0
8 "MetsaHarvaTaimikko" 2 0 0.0474074074074075 0 0 0 0 0 1.0735265454454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0553423075633352 0 0
9 "MetsaHarvaTaimikko" 2 0 0.514023439464815 0.271405448529864 0.336215482118606 0.439297570544741 0.25764716451777 0.0580802469135803 0.451243649715808 0.548061865320882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 "MetsaHarvaTaimikko" 2 0 0 0.128833690085639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 "MetsaHarvaTaimikko" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17764448468387
1 "MetsaKeskim" 2 0.828468675639058 0.0259370988726618 0.0105846701098607 0.00822771117496736 0.0017227889630782 0.00105688129030404 0 0.000726603853861746 0.000803188160108659 0 0 0 0 0 0 0 0 0.000104822431150072 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 2 0.0351164785965915 1.04513908205125 0.00765445830016414 0.0179802427787639 0.00575360408915478 0.000932362561992193 0.000269098870950723 0.00188306588732875 0.00498575251510867 0 0 0 0 0 0 0 0 0.00576071768762026 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaKeskim" 2 0.0098913201323471 0.021439535483746 0.740784011364405 0.0874147587998356 0.00702800594317978 0.00495200767981032 0.000791804020425313 0.00303524549144364 0.0080618681893523 0 0 0 0 0.000477463429845878 0 0 0 0 0 0 0 0 0 0 0 0 0.00204513462463821 0 0 0 0
4 "MetsaKeskim" 2 0.00535574064879582 0.0221444476166945 0.0392993867308894 0.945417523817244 0.00497257898579584 0.0144046606317446 0.00339152609309742 0.0178593149579969 0.00311877091934766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 2 0 0 0 0.0231395340411039 1.5481500902931 0 0 0.105927923214691 0.195098743428701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0661949038668699
