"maakunta" "V2"
1 166019.086842398
2 191719.477134103
4 153009.372687903
5 80180.1849649401
6 281438.958592414
7 70656.9939180556
8 62123.4339373108
9 94730.2530450474
10 331877.164526635
11 408079.673062274
12 293911.981996883
13 321974.193904772
14 136708.748899679
15 117615.462217613
16 14416.5422620063
17 400595.427920484
18 336681.127674823
19 610850.049460612
21 26821.0611116635
