"maakunta" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
"DGMvek" 1 21.590707972201 17.9923054691083 24.0601711463841 14.9778301826783 18.384785663698 21.0316198559462 27.686242393153 13.469932947932 8.67981311397257 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 11.5476820069105 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 21.0316198559462 12.1438415336118 5.8 4.8052589803318 21.0316198559462 10.3740323313365 21.0316198559462
"DGMvek.1" 2 21.36166893703 16.0845530700605 15.032130793999 8.0472459330697 18.3282197328718 20.5867013036109 8.94856360627908 11.804344042483 7.4 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 7.22484073251765 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 20.5867013036109 12.4284232767667 20.5867013036109 20.5867013036109
"DGMvek.2" 4 12.1163998833438 13.7831716031898 11.972845513852 9.82007549229062 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852 11.972845513852
"DGMvek.3" 5 10.0358007445462 5.06359300476947 9.91989715600749 9.07644607428631 9.91989715600749 9.91989715600749 9.39839848472636 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749 9.91989715600749
"DGMvek.4" 6 13.5264458165335 13.4883956982855 15.6477743132888 10.1128927828069 10.7 12.799359142213 14.6 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 9.39540026130132 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213 12.799359142213
"DGMvek.5" 7 16.2085994816037 1.4 10.1 10.2648706014455 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 9.91816513761468 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597 14.8345966028597
"DGMvek.6" 8 15.788796612275 11.2181213809882 18.7240569276938 7.82243699272284 17.2744376562039 15.3746494789947 15.3746494789947 13.2 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 8.75542645665275 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947 15.3746494789947
"DGMvek.7" 9 16.4413264375651 8.58728245116907 10.5862424139413 13.8168337912573 15.2437551404963 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 5.4619014693172 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298 15.3473025352298
"DGMvek.8" 10 15.0049993883556 6.9479885945929 21.3898483261441 7.67674630991772 10.7657699481969 5.42966568794107 8.56939971670835 2.15 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656 13.441813617656
"DGMvek.9" 11 12.3600709774692 11.2306858089766 12.000628818099 9.34281771580806 12.000628818099 8.42199606879601 16.7 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099 12.000628818099
