"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
1 217309.399562874 17878.4290985405 5659.98713783123 10310.6693055512 2249.15074618943 0 209.150861947749 1454.20473458504 447.649538082834 0 0 0 0 0 0 0 0 744.715791044462 0 0 0 0 0 1305.65760246615 0 0 303.872326131834 0 0 0 0
2 511162.266144613 24288.3778529928 9154.62575792527 14113.3011980432 5704.1654169673 0 10137.7163422846 5807.28285341071 305.079876464999 0 0 0 0 0 0 0 0 3214.88118367424 0 0 0 0 0 0 0 269.6386373535 0 1734.50145412947 0 0 0
4 76968.8746980423 649.344849454159 816.007945636525 8924.6093934123 457.977496116604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 16307.2873760346 97.4926301911669 0 3847.70530345895 0 0 1291.07122665348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 62923.6277612135 4245.78908477204 0 12601.484830384 178.648817736637 883.343980119607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 16903.6412146259 1983.08140422852 750.799242033375 1476.21218526701 1163.46680314227 0 0 204.205429620753 0 0 0 0 0 0 0 0 0 447.173665306071 0 0 0 0 0 0 0 0 0 0 0 0 0
8 64001.2286507144 1444.19020775596 0 137.904365211336 290.529041314914 0 0 524.876822716808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 15594.9655360214 111.026077692688 495.978076904309 5726.95488987856 0 526.345849802372 9186.34471180708 1052.69169960474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 46272.591125231 2033.00529894085 2318.74930271499 12125.9271844144 2008.83885304124 0 731.880436417761 1407.46773305958 667.126577628939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 86616.6599210682 2498.62745306656 0 11367.7104684593 0 1301.10305990964 3336.57244221599 0 366.260268852707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 166563.483288941 1304.36769053257 344.766672571384 16583.1762727678 0 0 0 0 277.429536359199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 131046.320364269 3783.13644198023 2161.71668895777 15915.1080223508 0 184.183938179348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 192849.438332632 8420.43345214296 547.112695268659 12994.619501438 0 1384.50669674172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 122791.062234531 1616.32460525743 7355.88135084813 10404.3194149992 0 1876.88682156341 764.660173216695 7823.69369229283 0 0 0 0 0 0 0 0 0 0 0 0 362.167309415394 0 0 0 0 0 0 205.583807652761 0 0 0
16 137107.393250195 1224.89956745994 804.079068444167 18048.7803276178 0 359.380699445835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 1614457.91113166 108035.27495016 4997.23579640186 298437.012858355 435.125610181061 6571.04447880608 0 0 2609.4567730775 0 0 0 0 0 0 0 0 0 0 0 330.706906883173 0 0 0 0 0 0 0 0 0 0
18 701458.942252066 80545.9444686562 256.412279959377 105040.251591744 267.935004639033 3814.8510760306 0 0 623.651645367863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 182.844114696958
19 4199773.10780265 1733759.25003358 27012.3884353567 1706723.97485367 10752.2156676364 21092.5625368253 0 0 12128.7920218216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 262528.604909081 4062.28793364278 1248.61493941027 19608.4518073888 5382.86167404864 0 27251.7713278469 3740.4612087452 1041.15426828508 0 0 0 0 0 0 0 0 2166.83215610211 0 0 0 0 0 0 0 47.7027725957213 0 1088.83834559183 0 0 0
30 1318680.63567552 165815.607383078 1338.05330107064 1948603.95596976 23803.3809856397 4597.35442550986 0 0 11139.9948611554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
