"maakunta" "V2"
"1" 1 256012.439101148
"2" 2 240776.971589778
"3" 4 120306.226511316
"4" 5 109434.463824846
"5" 6 276110.323409183
"6" 7 103152.145733092
"7" 8 123424.512163508
"8" 9 171335.200093607
"9" 10 415895.417740768
"10" 11 445645.249337461
"11" 12 453856.928397694
"12" 13 293458.187230248
"13" 14 108227.068102027
"14" 15 80396.3266467282
"15" 16 38159.2564963252
"16" 17 468403.95935756
"17" 18 346354.666104045
"18" 19 869657.780689
"19" 21 24380.3444666759
"20" 30 227578.17334008
